Row,Part Number,Description,Status,Confidence,Issue,Field,Detail,Suggested Value
72,DR7004BE,DR7004BE SQ Elect Dryer Bk,NEEDS_REVIEW,0.48,Manufacturer unresolved,MANUFACTURER_NAME,'Appliance Dealers Cooperative' is a distributor/co-op (carries 8 brands); the manufacturer of record needs manufacturer evidence,
72,DR7004BE,DR7004BE SQ Elect Dryer Bk,NEEDS_REVIEW,0.48,Brand unresolved,BRAND_NAME,"no brand evidence in feed columns, description or supplier",
72,DR7004BE,DR7004BE SQ Elect Dryer Bk,NEEDS_REVIEW,0.48,Attribute coverage below threshold,__attributes__,22% of the 9 template slots populated,
72,DR7004BE,DR7004BE SQ Elect Dryer Bk,NEEDS_REVIEW,0.48,Product confidence below publication threshold,,0.48 < 0.62,
73,DV2000WE,DV2000WE SQ Elect Dryer Wh,NEEDS_REVIEW,0.48,Manufacturer unresolved,MANUFACTURER_NAME,'Appliance Dealers Cooperative' is a distributor/co-op (carries 8 brands); the manufacturer of record needs manufacturer evidence,
73,DV2000WE,DV2000WE SQ Elect Dryer Wh,NEEDS_REVIEW,0.48,Brand unresolved,BRAND_NAME,"no brand evidence in feed columns, description or supplier",
73,DV2000WE,DV2000WE SQ Elect Dryer Wh,NEEDS_REVIEW,0.48,Attribute coverage below threshold,__attributes__,22% of the 9 template slots populated,
73,DV2000WE,DV2000WE SQ Elect Dryer Wh,NEEDS_REVIEW,0.48,Product confidence below publication threshold,,0.48 < 0.62,
74,DC5004WE,DC5004WE SQ Elect Dryer Wh,NEEDS_REVIEW,0.48,Manufacturer unresolved,MANUFACTURER_NAME,'Appliance Dealers Cooperative' is a distributor/co-op (carries 8 brands); the manufacturer of record needs manufacturer evidence,
74,DC5004WE,DC5004WE SQ Elect Dryer Wh,NEEDS_REVIEW,0.48,Brand unresolved,BRAND_NAME,"no brand evidence in feed columns, description or supplier",
74,DC5004WE,DC5004WE SQ Elect Dryer Wh,NEEDS_REVIEW,0.48,Attribute coverage below threshold,__attributes__,22% of the 9 template slots populated,
74,DC5004WE,DC5004WE SQ Elect Dryer Wh,NEEDS_REVIEW,0.48,Product confidence below publication threshold,,0.48 < 0.62,
75,DC5004BE,DC5004BE SQ Elect Dryer Bk,NEEDS_REVIEW,0.48,Manufacturer unresolved,MANUFACTURER_NAME,'Appliance Dealers Cooperative' is a distributor/co-op (carries 8 brands); the manufacturer of record needs manufacturer evidence,
75,DC5004BE,DC5004BE SQ Elect Dryer Bk,NEEDS_REVIEW,0.48,Brand unresolved,BRAND_NAME,"no brand evidence in feed columns, description or supplier",
75,DC5004BE,DC5004BE SQ Elect Dryer Bk,NEEDS_REVIEW,0.48,Attribute coverage below threshold,__attributes__,22% of the 9 template slots populated,
75,DC5004BE,DC5004BE SQ Elect Dryer Bk,NEEDS_REVIEW,0.48,Product confidence below publication threshold,,0.48 < 0.62,
76,WKE100HWA,WKE100HWA LG Laundry Center Wh - Display,NEEDS_REVIEW,0.56,Manufacturer unresolved,MANUFACTURER_NAME,'Appliance Dealers Cooperative' is a distributor/co-op (carries 8 brands); the manufacturer of record needs manufacturer evidence,
76,WKE100HWA,WKE100HWA LG Laundry Center Wh - Display,NEEDS_REVIEW,0.56,Product confidence below publication threshold,,0.56 < 0.62,
77,FF7011WN,FF7011WN Speed Queen Washer Wh,NEEDS_REVIEW,0.58,Manufacturer unresolved,MANUFACTURER_NAME,'Appliance Dealers Cooperative' is a distributor/co-op (carries 8 brands); the manufacturer of record needs manufacturer evidence,
77,FF7011WN,FF7011WN Speed Queen Washer Wh,NEEDS_REVIEW,0.58,Attribute coverage below threshold,__attributes__,12% of the 8 template slots populated,
77,FF7011WN,FF7011WN Speed Queen Washer Wh,NEEDS_REVIEW,0.58,Product confidence below publication threshold,,0.58 < 0.62,
78,PTD70GBPTDG,PTD70GBPTDG GE Gas Dryer DG,NEEDS_REVIEW,0.59,Manufacturer unresolved,MANUFACTURER_NAME,'Appliance Dealers Cooperative' is a distributor/co-op (carries 8 brands); the manufacturer of record needs manufacturer evidence,
78,PTD70GBPTDG,PTD70GBPTDG GE Gas Dryer DG,NEEDS_REVIEW,0.59,Attribute coverage below threshold,__attributes__,22% of the 9 template slots populated,
78,PTD70GBPTDG,PTD70GBPTDG GE Gas Dryer DG,NEEDS_REVIEW,0.59,Product confidence below publication threshold,,0.59 < 0.62,
79,PTD70GBSTWS,PTD70GBSTWS GE Gas Dryer Wh,NEEDS_REVIEW,0.59,Manufacturer unresolved,MANUFACTURER_NAME,'Appliance Dealers Cooperative' is a distributor/co-op (carries 8 brands); the manufacturer of record needs manufacturer evidence,
79,PTD70GBSTWS,PTD70GBSTWS GE Gas Dryer Wh,NEEDS_REVIEW,0.59,Attribute coverage below threshold,__attributes__,22% of the 9 template slots populated,
79,PTD70GBSTWS,PTD70GBSTWS GE Gas Dryer Wh,NEEDS_REVIEW,0.59,Product confidence below publication threshold,,0.59 < 0.62,
80,DR5004WG,DR5004WG SQ Gas Dryer Wh,NEEDS_REVIEW,0.48,Manufacturer unresolved,MANUFACTURER_NAME,'Appliance Dealers Cooperative' is a distributor/co-op (carries 8 brands); the manufacturer of record needs manufacturer evidence,
80,DR5004WG,DR5004WG SQ Gas Dryer Wh,NEEDS_REVIEW,0.48,Brand unresolved,BRAND_NAME,"no brand evidence in feed columns, description or supplier",
80,DR5004WG,DR5004WG SQ Gas Dryer Wh,NEEDS_REVIEW,0.48,Attribute coverage below threshold,__attributes__,22% of the 9 template slots populated,
80,DR5004WG,DR5004WG SQ Gas Dryer Wh,NEEDS_REVIEW,0.48,Product confidence below publication threshold,,0.48 < 0.62,
81,DR7004BG,DR7004BG SQ Gas Dryer Bk,NEEDS_REVIEW,0.48,Manufacturer unresolved,MANUFACTURER_NAME,'Appliance Dealers Cooperative' is a distributor/co-op (carries 8 brands); the manufacturer of record needs manufacturer evidence,
81,DR7004BG,DR7004BG SQ Gas Dryer Bk,NEEDS_REVIEW,0.48,Brand unresolved,BRAND_NAME,"no brand evidence in feed columns, description or supplier",
81,DR7004BG,DR7004BG SQ Gas Dryer Bk,NEEDS_REVIEW,0.48,Attribute coverage below threshold,__attributes__,22% of the 9 template slots populated,
81,DR7004BG,DR7004BG SQ Gas Dryer Bk,NEEDS_REVIEW,0.48,Product confidence below publication threshold,,0.48 < 0.62,
82,DR7004WG,DR7004WG SQ Gas Dryer Wh,NEEDS_REVIEW,0.48,Manufacturer unresolved,MANUFACTURER_NAME,'Appliance Dealers Cooperative' is a distributor/co-op (carries 8 brands); the manufacturer of record needs manufacturer evidence,
82,DR7004WG,DR7004WG SQ Gas Dryer Wh,NEEDS_REVIEW,0.48,Brand unresolved,BRAND_NAME,"no brand evidence in feed columns, description or supplier",
82,DR7004WG,DR7004WG SQ Gas Dryer Wh,NEEDS_REVIEW,0.48,Attribute coverage below threshold,__attributes__,22% of the 9 template slots populated,
82,DR7004WG,DR7004WG SQ Gas Dryer Wh,NEEDS_REVIEW,0.48,Product confidence below publication threshold,,0.48 < 0.62,
83,DV2000WG,DV2000WG SQ Gas Dryer Wh,NEEDS_REVIEW,0.48,Manufacturer unresolved,MANUFACTURER_NAME,'Appliance Dealers Cooperative' is a distributor/co-op (carries 8 brands); the manufacturer of record needs manufacturer evidence,
83,DV2000WG,DV2000WG SQ Gas Dryer Wh,NEEDS_REVIEW,0.48,Brand unresolved,BRAND_NAME,"no brand evidence in feed columns, description or supplier",
83,DV2000WG,DV2000WG SQ Gas Dryer Wh,NEEDS_REVIEW,0.48,Attribute coverage below threshold,__attributes__,22% of the 9 template slots populated,
83,DV2000WG,DV2000WG SQ Gas Dryer Wh,NEEDS_REVIEW,0.48,Product confidence below publication threshold,,0.48 < 0.62,
84,DC5004WG,DC5004WG SQ Gas Dryer Wh,NEEDS_REVIEW,0.48,Manufacturer unresolved,MANUFACTURER_NAME,'Appliance Dealers Cooperative' is a distributor/co-op (carries 8 brands); the manufacturer of record needs manufacturer evidence,
84,DC5004WG,DC5004WG SQ Gas Dryer Wh,NEEDS_REVIEW,0.48,Brand unresolved,BRAND_NAME,"no brand evidence in feed columns, description or supplier",
84,DC5004WG,DC5004WG SQ Gas Dryer Wh,NEEDS_REVIEW,0.48,Attribute coverage below threshold,__attributes__,22% of the 9 template slots populated,
84,DC5004WG,DC5004WG SQ Gas Dryer Wh,NEEDS_REVIEW,0.48,Product confidence below publication threshold,,0.48 < 0.62,
85,DC5004BG,DC5004BG SQ Gas Dryer Bk,NEEDS_REVIEW,0.48,Manufacturer unresolved,MANUFACTURER_NAME,'Appliance Dealers Cooperative' is a distributor/co-op (carries 8 brands); the manufacturer of record needs manufacturer evidence,
85,DC5004BG,DC5004BG SQ Gas Dryer Bk,NEEDS_REVIEW,0.48,Brand unresolved,BRAND_NAME,"no brand evidence in feed columns, description or supplier",
85,DC5004BG,DC5004BG SQ Gas Dryer Bk,NEEDS_REVIEW,0.48,Attribute coverage below threshold,__attributes__,22% of the 9 template slots populated,
85,DC5004BG,DC5004BG SQ Gas Dryer Bk,NEEDS_REVIEW,0.48,Product confidence below publication threshold,,0.48 < 0.62,
86,PTW705BSTWS,PTW705BSTWS GE Washer Wh,NEEDS_REVIEW,0.58,Manufacturer unresolved,MANUFACTURER_NAME,'Appliance Dealers Cooperative' is a distributor/co-op (carries 8 brands); the manufacturer of record needs manufacturer evidence,
86,PTW705BSTWS,PTW705BSTWS GE Washer Wh,NEEDS_REVIEW,0.58,Attribute coverage below threshold,__attributes__,12% of the 8 template slots populated,
86,PTW705BSTWS,PTW705BSTWS GE Washer Wh,NEEDS_REVIEW,0.58,Product confidence below publication threshold,,0.58 < 0.62,
87,MVWP586GW,MVWP586GW Washer Wh - Display,NEEDS_REVIEW,0.46,Manufacturer unresolved,MANUFACTURER_NAME,'Appliance Dealers Cooperative' is a distributor/co-op (carries 8 brands); the manufacturer of record needs manufacturer evidence,
87,MVWP586GW,MVWP586GW Washer Wh - Display,NEEDS_REVIEW,0.46,Brand unresolved,BRAND_NAME,"no brand evidence in feed columns, description or supplier",
87,MVWP586GW,MVWP586GW Washer Wh - Display,NEEDS_REVIEW,0.46,Attribute coverage below threshold,__attributes__,12% of the 8 template slots populated,
87,MVWP586GW,MVWP586GW Washer Wh - Display,NEEDS_REVIEW,0.46,Product confidence below publication threshold,,0.46 < 0.62,
88,TV2000WN,TV2000WN SQ Elect Washer,NEEDS_REVIEW,0.27,Manufacturer unresolved,MANUFACTURER_NAME,'Appliance Dealers Cooperative' is a distributor/co-op (carries 8 brands); the manufacturer of record needs manufacturer evidence,
88,TV2000WN,TV2000WN SQ Elect Washer,NEEDS_REVIEW,0.27,Brand unresolved,BRAND_NAME,"no brand evidence in feed columns, description or supplier",
88,TV2000WN,TV2000WN SQ Elect Washer,NEEDS_REVIEW,0.27,Attribute coverage below threshold,__attributes__,0% of the 8 template slots populated,
88,TV2000WN,TV2000WN SQ Elect Washer,NEEDS_REVIEW,0.27,Product confidence below publication threshold,,0.27 < 0.62,
89,TC5003BN,TC5003BN SQ Washer Bk,NEEDS_REVIEW,0.46,Manufacturer unresolved,MANUFACTURER_NAME,'Appliance Dealers Cooperative' is a distributor/co-op (carries 8 brands); the manufacturer of record needs manufacturer evidence,
89,TC5003BN,TC5003BN SQ Washer Bk,NEEDS_REVIEW,0.46,Brand unresolved,BRAND_NAME,"no brand evidence in feed columns, description or supplier",
89,TC5003BN,TC5003BN SQ Washer Bk,NEEDS_REVIEW,0.46,Attribute coverage below threshold,__attributes__,12% of the 8 template slots populated,
89,TC5003BN,TC5003BN SQ Washer Bk,NEEDS_REVIEW,0.46,Product confidence below publication threshold,,0.46 < 0.62,
90,TR7006WN,TR7006WN Speed Queen Washer Wh,NEEDS_REVIEW,0.58,Manufacturer unresolved,MANUFACTURER_NAME,'Appliance Dealers Cooperative' is a distributor/co-op (carries 8 brands); the manufacturer of record needs manufacturer evidence,
90,TR7006WN,TR7006WN Speed Queen Washer Wh,NEEDS_REVIEW,0.58,Attribute coverage below threshold,__attributes__,12% of the 8 template slots populated,
90,TR7006WN,TR7006WN Speed Queen Washer Wh,NEEDS_REVIEW,0.58,Product confidence below publication threshold,,0.58 < 0.62,
91,TR7006BN,TR7006BN Speed Queen Washer Bk,NEEDS_REVIEW,0.58,Manufacturer unresolved,MANUFACTURER_NAME,'Appliance Dealers Cooperative' is a distributor/co-op (carries 8 brands); the manufacturer of record needs manufacturer evidence,
91,TR7006BN,TR7006BN Speed Queen Washer Bk,NEEDS_REVIEW,0.58,Attribute coverage below threshold,__attributes__,12% of the 8 template slots populated,
91,TR7006BN,TR7006BN Speed Queen Washer Bk,NEEDS_REVIEW,0.58,Product confidence below publication threshold,,0.58 < 0.62,
92,TR5006WN,TR5006WN Speed Queen Washer Wh,NEEDS_REVIEW,0.58,Manufacturer unresolved,MANUFACTURER_NAME,'Appliance Dealers Cooperative' is a distributor/co-op (carries 8 brands); the manufacturer of record needs manufacturer evidence,
92,TR5006WN,TR5006WN Speed Queen Washer Wh,NEEDS_REVIEW,0.58,Attribute coverage below threshold,__attributes__,12% of the 8 template slots populated,
92,TR5006WN,TR5006WN Speed Queen Washer Wh,NEEDS_REVIEW,0.58,Product confidence below publication threshold,,0.58 < 0.62,
93,05134545001,9516 Kneeling Pad& Bttl Opener,NEEDS_REVIEW,0.44,Brand unresolved,BRAND_NAME,"no brand evidence in feed columns, description or supplier",
93,05134545001,9516 Kneeling Pad& Bttl Opener,NEEDS_REVIEW,0.44,Attribute coverage below threshold,__attributes__,0% of the 6 template slots populated,
93,05134545001,9516 Kneeling Pad& Bttl Opener,NEEDS_REVIEW,0.44,Product confidence below publication threshold,,0.44 < 0.62,
94,LNL65301,LNL65301 Digital Tire Pressure - Inflator Gauge,NEEDS_REVIEW,0.24,Manufacturer unresolved,MANUFACTURER_NAME,no brand owner and no direct-manufacturer supplier,
94,LNL65301,LNL65301 Digital Tire Pressure - Inflator Gauge,NEEDS_REVIEW,0.24,Brand unresolved,BRAND_NAME,"no brand evidence in feed columns, description or supplier",
94,LNL65301,LNL65301 Digital Tire Pressure - Inflator Gauge,NEEDS_REVIEW,0.24,Attribute coverage below threshold,__attributes__,0% of the 6 template slots populated,
94,LNL65301,LNL65301 Digital Tire Pressure - Inflator Gauge,NEEDS_REVIEW,0.24,Product confidence below publication threshold,,0.24 < 0.62,
95,25-A,Charcoal Black 25-A Mortar - Type N,NEEDS_REVIEW,0.64,Brand unresolved,BRAND_NAME,"no brand evidence in feed columns, description or supplier",
95,25-A,Charcoal Black 25-A Mortar - Type N,NEEDS_REVIEW,0.64,Attribute coverage below threshold,__attributes__,20% of the 5 template slots populated,
96,38-E,Dark Chocolate 38-E Mortar - Type N,NEEDS_REVIEW,0.64,Brand unresolved,BRAND_NAME,"no brand evidence in feed columns, description or supplier",
96,38-E,Dark Chocolate 38-E Mortar - Type N,NEEDS_REVIEW,0.64,Attribute coverage below threshold,__attributes__,20% of the 5 template slots populated,
97,59-J,Light Buff 59-J Mortar - Type N,NEEDS_REVIEW,0.64,Brand unresolved,BRAND_NAME,"no brand evidence in feed columns, description or supplier",
97,59-J,Light Buff 59-J Mortar - Type N,NEEDS_REVIEW,0.64,Attribute coverage below threshold,__attributes__,20% of the 5 template slots populated,
98,44-A,Light Chocolate 44-A Mortar - Type N,NEEDS_REVIEW,0.64,Brand unresolved,BRAND_NAME,"no brand evidence in feed columns, description or supplier",
98,44-A,Light Chocolate 44-A Mortar - Type N,NEEDS_REVIEW,0.64,Attribute coverage below threshold,__attributes__,20% of the 5 template slots populated,
101,73019603,Finyline Wh 6' Fl Rail Kit Sq,NEEDS_REVIEW,0.57,Manufacturer unresolved,MANUFACTURER_NAME,no brand owner and no direct-manufacturer supplier,
101,73019603,Finyline Wh 6' Fl Rail Kit Sq,NEEDS_REVIEW,0.57,Product confidence below publication threshold,,0.57 < 0.62,
102,73019652,Finyline Wh 8' Fl Rail Kit Sq,NEEDS_REVIEW,0.57,Manufacturer unresolved,MANUFACTURER_NAME,no brand owner and no direct-manufacturer supplier,
102,73019652,Finyline Wh 8' Fl Rail Kit Sq,NEEDS_REVIEW,0.57,Product confidence below publication threshold,,0.57 < 0.62,
103,73019517,Finyline Wh 10' Fl Rail Kit Sq,NEEDS_REVIEW,0.57,Manufacturer unresolved,MANUFACTURER_NAME,no brand owner and no direct-manufacturer supplier,
103,73019517,Finyline Wh 10' Fl Rail Kit Sq,NEEDS_REVIEW,0.57,Product confidence below publication threshold,,0.57 < 0.62,
104,73019602,Finyline Wh 6' Fl Rail Kit Rd - w/Black Alum Balusters,NEEDS_REVIEW,0.60,Manufacturer unresolved,MANUFACTURER_NAME,no brand owner and no direct-manufacturer supplier,
104,73019602,Finyline Wh 6' Fl Rail Kit Rd - w/Black Alum Balusters,NEEDS_REVIEW,0.60,Product confidence below publication threshold,,0.60 < 0.62,
105,73019651,Finyline Wh 8' Fl Rail Kit Rd - w/Black Alum Balusters,NEEDS_REVIEW,0.60,Manufacturer unresolved,MANUFACTURER_NAME,no brand owner and no direct-manufacturer supplier,
105,73019651,Finyline Wh 8' Fl Rail Kit Rd - w/Black Alum Balusters,NEEDS_REVIEW,0.60,Product confidence below publication threshold,,0.60 < 0.62,
106,73019516,Finyline Wh 10' Fl Rail Kit Rd - w/Black Alum Balusters,NEEDS_REVIEW,0.60,Manufacturer unresolved,MANUFACTURER_NAME,no brand owner and no direct-manufacturer supplier,
106,73019516,Finyline Wh 10' Fl Rail Kit Rd - w/Black Alum Balusters,NEEDS_REVIEW,0.60,Product confidence below publication threshold,,0.60 < 0.62,
107,543300256,6' Black Select Classic Horiz - Rail w/Rnd Black Alum Baluster,NEEDS_REVIEW,0.82,Classification confidence below threshold,Classpath,0.55 < 0.6,Building Materials>Decking & Railing>Railing Systems
108,543300276,8' Black Select Classic Horiz - Rail w/Rnd Black Alum Baluster,NEEDS_REVIEW,0.82,Classification confidence below threshold,Classpath,0.55 < 0.6,Building Materials>Decking & Railing>Railing Systems
109,73045028,Custom Finyline Wh Gate Sq Bal,NEEDS_REVIEW,0.60,Manufacturer unresolved,MANUFACTURER_NAME,no brand owner and no direct-manufacturer supplier,
109,73045028,Custom Finyline Wh Gate Sq Bal,NEEDS_REVIEW,0.60,Product confidence below publication threshold,,0.60 < 0.62,
110,73045031,Custom Finyline Wh Gate Rd - w/Black Alum Balusters,NEEDS_REVIEW,0.60,Manufacturer unresolved,MANUFACTURER_NAME,no brand owner and no direct-manufacturer supplier,
110,73045031,Custom Finyline Wh Gate Rd - w/Black Alum Balusters,NEEDS_REVIEW,0.60,Product confidence below publication threshold,,0.60 < 0.62,
